rule	status	fired_file_count	satisfiable_under
event_based_flag	covered	4	sv_2017,sv_2023,verilog_2005
event_control	covered	1571	sv_2017,sv_2023,verilog_2005
event_control_sv_2017	covered	1571	sv_2017,verilog_2005
event_control_sv_2023	na_profile	0	sv_2023
event_expression	covered	1520	sv_2017,sv_2023,verilog_2005
event_expression_primary	covered	1520	sv_2017,sv_2023,verilog_2005
event_trigger	covered	72	sv_2017,sv_2023,verilog_2005
event_trigger_sv_2017	covered	72	sv_2017
event_trigger_sv_2023	na_profile	0	sv_2023
event_trigger_verilog_2005	na_profile	0	verilog_2005
expect_property_statement	covered	3	sv_2017,sv_2023
expression	covered	8016	sv_2017,sv_2023,verilog_2005
expression_base	covered	8022	sv_2017,sv_2023,verilog_2005
expression_operand	covered	8022	sv_2017,sv_2023,verilog_2005
expression_or_cond_pattern	covered	3487	sv_2017,sv_2023,verilog_2005
expression_or_dist	covered	265	sv_2017,sv_2023,verilog_2005
extern_constraint_declaration	covered	7	sv_2017,sv_2023
extern_constraint_declaration_sv_2017	covered	7	sv_2017
extern_constraint_declaration_sv_2023	na_profile	0	sv_2023
extern_tf_declaration	GAP	0	sv_2017,sv_2023
final_construct	covered	58	sv_2017,sv_2023
final_specifier	na_profile	0	sv_2023
final_specifier_sv_2023	na_profile	0	sv_2023
finish_number	covered	3	sv_2017,sv_2023,verilog_2005
for_initialization	covered	688	sv_2017,sv_2023,verilog_2005
for_step	covered	687	sv_2017,sv_2023,verilog_2005
for_step_assignment	covered	687	sv_2017,sv_2023,verilog_2005
for_variable_declaration	covered	197	sv_2017,sv_2023,verilog_2005
formal_port_identifier	covered	1731	sv_2017,sv_2023,verilog_2005
forward_type	na_profile	0	sv_2023
forward_type_keyword	covered	6	sv_2017,sv_2023,verilog_2005
forward_type_sv_2023	na_profile	0	sv_2023
full_edge_sensitive_path_description	covered	1	sv_2017,sv_2023,verilog_2005
full_edge_sensitive_path_description_sv_2017	covered	1	sv_2017,verilog_2005
full_edge_sensitive_path_description_sv_2023	na_profile	0	sv_2023
full_path_arrow	covered	28	sv_2017,sv_2023,verilog_2005
full_path_description	covered	27	sv_2017,sv_2023,verilog_2005
function_body_declaration	covered	1218	sv_2017,sv_2023,verilog_2005
function_data_type_or_implicit	covered	1218	sv_2017,sv_2023,verilog_2005
function_declaration	covered	1218	sv_2017,sv_2023,verilog_2005
function_declaration_sv_2017	covered	1218	sv_2017,verilog_2005
function_declaration_sv_2023	na_profile	0	sv_2023
function_identifier	covered	1279	sv_2017,sv_2023,verilog_2005
function_prototype	covered	143	sv_2017,sv_2023
function_prototype_sv_2017	covered	143	sv_2017
function_prototype_sv_2023	na_profile	0	sv_2023
function_statement	covered	982	sv_2017,sv_2023,verilog_2005
function_statement_or_null	covered	932	sv_2017,sv_2023,verilog_2005
function_subroutine_call	covered	42	sv_2017,sv_2023,verilog_2005
gate_instantiation	covered	127	sv_2017,sv_2023,verilog_2005
gate_instantiation_sv_2017	covered	127	sv_2017,verilog_2005
gate_instantiation_sv_2023	na_profile	0	sv_2023
generate_block	covered	553	sv_2017,sv_2023,verilog_2005
generate_block_identifier	covered	384	sv_2017,sv_2023,verilog_2005
generate_item	covered	554	sv_2017,sv_2023,verilog_2005
generate_region	covered	250	sv_2017,sv_2023,verilog_2005
genvar_declaration	covered	173	sv_2017,sv_2023,verilog_2005
genvar_expression	covered	316	sv_2017,sv_2023,verilog_2005
genvar_identifier	covered	1699	sv_2017,sv_2023,verilog_2005
genvar_initialization	covered	316	sv_2017,sv_2023,verilog_2005
genvar_iteration	covered	316	sv_2017,sv_2023,verilog_2005
goto_repetition	covered	4	sv_2017,sv_2023,verilog_2005
greater_equal	covered	173	sv_2017,sv_2023,verilog_2005
greater_than	covered	512	sv_2017,sv_2023,verilog_2005
hash	covered	2924	sv_2017,sv_2023,verilog_2005
hierarchical_array_identifier	covered	69	sv_2017,sv_2023,verilog_2005
hierarchical_block_identifier	covered	75	sv_2017,sv_2023,verilog_2005
hierarchical_btf_identifier	GAP	0	sv_2017,sv_2023,verilog_2005
hierarchical_event_identifier	covered	107	sv_2017,sv_2023,verilog_2005
hierarchical_identifier	covered	7379	sv_2017,sv_2023,verilog_2005
hierarchical_instance	covered	2120	sv_2017,sv_2023,verilog_2005
hierarchical_net_identifier	covered	2080	sv_2017,sv_2023,verilog_2005
hierarchical_parameter_identifier	covered	53	sv_2017,sv_2023,verilog_2005
hierarchical_property_identifier	covered	88	sv_2017,sv_2023,verilog_2005
hierarchical_root_prefix_sv_only	covered	2	sv_2017,sv_2023
hierarchical_sequence_identifier	covered	577	sv_2017,sv_2023,verilog_2005
hierarchical_task_identifier	covered	75	sv_2017,sv_2023,verilog_2005
hierarchical_tf_identifier	covered	1	sv_2017,sv_2023,verilog_2005
hierarchical_variable_identifier	covered	4544	sv_2017,sv_2023,verilog_2005
identifier	covered	9063	sv_2017,sv_2023,verilog_2005
identifier_list	covered	4	sv_2017,sv_2023,verilog_2005
identifier_rooted_method_chain	covered	164	sv_2017,sv_2023,verilog_2005
if_generate_construct	covered	308	sv_2017,sv_2023,verilog_2005
if_generate_else_clause	covered	129	sv_2017,sv_2023,verilog_2005
iff_arrow	covered	6	sv_2017,sv_2023,verilog_2005
immediate_assertion_statement	covered	60	sv_2017,sv_2023
implicit_class_handle	covered	96	sv_2017,sv_2023,verilog_2005
implicit_class_rooted_method_chain	covered	3	sv_2017,sv_2023,verilog_2005
implicit_data_type	covered	8172	sv_2017,sv_2023,verilog_2005
implies	covered	93	sv_2017,sv_2023,verilog_2005
import_export	covered	12	sv_2017,sv_2023,verilog_2005
inc_or_dec_expression	covered	339	sv_2017,sv_2023
inc_or_dec_operator	covered	478	sv_2017,sv_2023,verilog_2005
include_statement	GAP	0	sv_2017,sv_2023,verilog_2005
incomplete_class_scoped_type	na_profile	0	sv_2023
incomplete_class_scoped_type_sv_2023	na_profile	0	sv_2023
index_variable_identifier	covered	66	sv_2017,sv_2023,verilog_2005
indexed_range	covered	181	sv_2017,sv_2023,verilog_2005
init_val	covered	6	sv_2017,sv_2023,verilog_2005
initial_construct	covered	5619	sv_2017,sv_2023,verilog_2005
initial_or_extends_specifier	na_profile	0	sv_2023
initial_or_extends_specifier_sv_2023	na_profile	0	sv_2023
inout_declaration	covered	35	sv_2017,sv_2023,verilog_2005
inout_port_identifier	covered	149	sv_2017,sv_2023,verilog_2005
inout_terminal	covered	9	sv_2017,sv_2023,verilog_2005
input_declaration	covered	669	sv_2017,sv_2023,verilog_2005
