sub_corpus	tier	path	accepted	entries	committed	memo_hits	lr_entries	lr_committed
opentitan	lr	stimuli/sv/subs/opentitan/hw/vendor/lowrisc_ibex/rtl/ibex_tracer_pkg.sv	yes	1205033	31925	532312	42834	0
scr1	breadth	stimuli/sv/subs/scr1/src/core/pipeline/scr1_ipic.sv	no	6208	44	2437	125	0
scr1	breadth	stimuli/sv/subs/scr1/src/core/pipeline/scr1_pipe_ifu.sv	no	3787	43	1354	0	0
scr1	breadth	stimuli/sv/subs/scr1/src/core/primitives/scr1_cg.sv	yes	12535	486	5104	186	0
scr1	breadth	stimuli/sv/subs/scr1/src/core/scr1_scu.sv	no	12504	38	4475	22	0
scr1	breadth	stimuli/sv/subs/scr1/src/includes/scr1_arch_types.svh	no	4843	41	1834	15	0
scr1	breadth	stimuli/sv/subs/scr1/src/includes/scr1_riscv_isa_decoding.svh	no	28925	1536	12551	868	0
scr1	breadth	stimuli/sv/subs/scr1/src/tb/scr1_memory_tb_axi.sv	no	7926	14	3298	154	0
scr1	breadth	stimuli/sv/subs/scr1/src/top/scr1_dp_memory.sv	no	2911	14	1149	37	0
slang	breadth	stimuli/sv/subs/slang/tests/regression/all.sv	no	168033	1300	71196	4139	0
slang	breadth	stimuli/sv/subs/slang/tests/regression/driver/dep-trim/cycleA.sv	yes	2507	91	980	13	0
slang	breadth	stimuli/sv/subs/slang/tests/regression/driver/different-tops.sv	no	3304	10	1317	36	0
slang	breadth	stimuli/sv/subs/slang/tests/regression/driver/libdir-modules.sv	yes	4193	156	1603	13	0
slang	breadth	stimuli/sv/subs/slang/tests/regression/driver/single-unit-no-eol.sv	yes	402	8	147	0	0
slang	breadth	stimuli/sv/subs/slang/tests/unittests/data/file_defn.svh	yes	1168	10	440	0	0
slang	breadth	stimuli/sv/subs/slang/tests/unittests/data/libsplit_lib.sv	yes	1398	22	527	0	0
slang	breadth	stimuli/sv/subs/slang/tests/unittests/data/redef_primitive.sv	yes	1439	168	487	0	0
sv-tests	breadth	stimuli/sv/subs/sv-tests/tests/chapter-10/10.3--proc-assignment--bad.sv	yes	5405	148	2172	67	0
sv-tests	breadth	stimuli/sv/subs/sv-tests/tests/chapter-13/13.3.1--task-static.sv	yes	19426	1399	8830	470	0
sv-tests	breadth	stimuli/sv/subs/sv-tests/tests/chapter-18/18.5.1--explicit-external-constraint_2.sv	no	4707	177	1840	49	0
sv-tests	breadth	stimuli/sv/subs/sv-tests/tests/chapter-21/21.2--display.sv	yes	6107	340	2606	94	0
sv-tests	breadth	stimuli/sv/subs/sv-tests/tests/chapter-5/5.6.3--system-functions.sv	yes	3433	210	1355	36	0
sv-tests	breadth	stimuli/sv/subs/sv-tests/tests/chapter-7/arrays/associative/locator-methods/max.sv	yes	15518	1344	6862	374	0
sv-tests	breadth	stimuli/sv/subs/sv-tests/tests/chapter-8/8.26.6.2--parameter_type_conflict_unresolved.sv	yes	8153	926	3385	64	0
sv-tests	breadth	stimuli/sv/subs/sv-tests/tests/generic/iface/iface_class_test_9.sv	yes	2770	133	996	0	0
sv2v	breadth	stimuli/sv/subs/sv2v/test/basic/assign_delay.sv	yes	13465	343	5538	240	0
sv2v	breadth	stimuli/sv/subs/sv2v/test/core/default_nettype.v	no	1611	13	606	0	0
sv2v	breadth	stimuli/sv/subs/sv2v/test/core/interface_input_type.v	yes	4342	152	1752	67	0
sv2v	breadth	stimuli/sv/subs/sv2v/test/core/package_export_first.sv	yes	6338	490	2443	58	0
sv2v	breadth	stimuli/sv/subs/sv2v/test/core/string_type.v	yes	1168	10	440	0	0
sv2v	breadth	stimuli/sv/subs/sv2v/test/error/auto_dim_int.sv	yes	3023	83	1200	33	0
sv2v	breadth	stimuli/sv/subs/sv2v/test/error/line_level.sv	yes	780	7	294	0	0
sv2v	breadth	stimuli/sv/subs/sv2v/test/lex/cond.sv	no	3262	4	1296	36	0
uvm-core	breadth	stimuli/sv/uvm/uvm-core-2020.3.1/compat/uvm_compat_macros.svh	yes	3570	64	1315	0	0
uvm-core	breadth	stimuli/sv/uvm/uvm-core-2020.3.1/src/base/uvm_factory.svh	no	5314	344	1891	15	0
uvm-core	breadth	stimuli/sv/uvm/uvm-core-2020.3.1/src/base/uvm_queue.svh	no	1643	51	569	0	0
uvm-core	breadth	stimuli/sv/uvm/uvm-core-2020.3.1/src/base/uvm_text_tr_database.svh	no	3205	169	1112	0	0
uvm-core	breadth	stimuli/sv/uvm/uvm-core-2020.3.1/src/comps/uvm_test.svh	no	640	72	180	0	0
uvm-core	breadth	stimuli/sv/uvm/uvm-core-2020.3.1/src/macros/uvm_recorder_defines.svh	no	2482	93	877	0	0
