class	suite	relpath	verdict	stuck_tick	furthest	stuck	surface	first_tick	last_tick	fail_line	first_tick_line	bytes	snippet
macro_use	verilator	test_regress/t/t_stream_unpack_wider.v	STUCK-ON-SVPP-TOKEN	checks	1408	1413	596	225	2469	35	8	2558	f("%p", dst_1); `checks(gotv, expv); // unpack as target, StreamL {
macro_use	verilator	test_regress/t/t_stream_unpacked_struct.v	STUCK-ON-SVPP-TOKEN	define	403	407	394	407	10158	13	13	10273	A.8.1 module t; `define checkh(gotv, expv) \ do if ((gotv) !== (expv)) b
macro_use	verilator	test_regress/t/t_strength_buf_not.v	STUCK-ON-SVPP-TOKEN	checkb	1079	1084	806	226	1084	53	8	1137	l begin #1; `checkb(bus, 4'b0110); $finish; end endmodule
macro_use	verilator	test_regress/t/t_string.v	STUCK-ON-SVPP-TOKEN	checks	1131	1136	601	226	3247	38	8	3396	str1, "%s", s); `checks(vstr1, "a"); $sformat(vstr2, "=%s", s); `ch
macro_use	verilator	test_regress/t/t_string_byte.v	STUCK-ON-SVPP-TOKEN	checkh	558	563	433	226	734	19	8	823	initial begin `checkh(bh[0], "2"); `checkh(bh[1], "i"); `checkh(bh
macro_use	verilator	test_regress/t/t_string_octal.v	STUCK-ON-SVPP-TOKEN	checko	1043	1047	433	226	1353	31	8	1443	], s[3], s[4]); `checko(s[0], 8'o102); `checko(s[1], 8'o003); `check
macro_use	verilator	test_regress/t/t_string_to_bit.v	STUCK-ON-SVPP-TOKEN	checks	904	909	436	226	2636	39	8	2795	= bit_t'(str2); `checks(bdata[0], "sm"); `checks(bdata[1], "dium");
macro_use	verilator	test_regress/t/t_string_type_methods.v	STUCK-ON-SVPP-TOKEN	checkh	903	904	761	226	4677	25	8	4815	begin s="1234"; `checkh(s.len(),4); s="ab7CD"; `checks(s.toupper(), "AB7
macro_use	verilator	test_regress/t/t_struct_clk.v	STUCK-ON-SVPP-TOKEN	checkd	1010	1017	500	226	1042	48	8	1146	== 99) begin `checkd(cyc1, 90); `checkd(cyc2, 90 * 5); $writ
macro_use	verilator	test_regress/t/t_struct_nest_uarray.v	STUCK-ON-SVPP-TOKEN	checkp	816	821	621	226	900	36	8	1014	].val.next = 6; `checkp(str, "'{el:'{'{val:'{next:'h6}}}}"); pstr.el[0]
macro_use	verilator	test_regress/t/t_struct_param.v	STUCK-ON-SVPP-TOKEN	checkd	1293	1298	1178	223	1456	52	8	1554	initial begin `checkd(MY_CONFIG.UPPER0, 10); `checkd(MY_CONFIG.mac.USE
macro_use	verilator	test_regress/t/t_struct_port.v	STUCK-ON-SVPP-TOKEN	ifdef	831	832	269	832	1554	42	42	1871	(posedge clk) begin `ifdef TEST_VERBOSE $write("[%0t] cyc==%0d crc=%x in=%x
