edition	rule	bucket	ieee_says	ieee_caption	clause	modelled_in_shipped_grammar	source_md	body
2017	scope_section	system_task_function	not in Annex A	Syntax 21-27	21	no	section-800-time-units-later-at-time-1010-and-stops-it-900-time-units-later-at-time-1910.md	scope_type scope_identifier
2017	scope_type	system_task_function	not in Annex A	Syntax 21-20	21	no	section-800-time-units-later-at-time-1010-and-stops-it-900-time-units-later-at-time-1910.md	begin | fork | function | module | task
2017	severity_message_task	system_task_function	not in Annex A	Syntax 20-10	20	no	section-20-utility-system-tasks-and-system-functions.md	fatal_message_task | nonfatal_message_task
2017	severity_task	system_task_function	not in Annex A	Syntax 20-10	20	no	section-20-utility-system-tasks-and-system-functions.md	$error | $warning | $info
2017	simulation_command	system_task_function	not in Annex A	Syntax 21-20	21	no	section-800-time-units-later-at-time-1010-and-stops-it-900-time-units-later-at-time-1910.md	$dumpall { value_change } $end | $dumpoff { value_change } $end | $dumpon { value_change } $end | $dumpvars { value_change } $end | $comment [ comment_text ] $end | simulation_time | value_change
2017	simulation_control_task	system_task_function	not in Annex A	Syntax 20-1	20	no	section-20-utility-system-tasks-and-system-functions.md	$stop [ ( n ) ] ; $finish [ ( n ) ] ; $exit [ ( ) ] ;
2017	simulation_keyword	system_task_function	not in Annex A	Syntax 21-27	21	no	section-800-time-units-later-at-time-1010-and-stops-it-900-time-units-later-at-time-1910.md	$dumpports | $dumpportsoff | $dumpportson | $dumpportsall
2017	simulation_time	system_task_function	not in Annex A	Syntax 21-20	21	no	section-800-time-units-later-at-time-1010-and-stops-it-900-time-units-later-at-time-1910.md	# decimal_number
2017	size_function	system_task_function	not in Annex A	Syntax 20-6	20	no	section-20-utility-system-tasks-and-system-functions.md	$bits ( expression ) | $bits ( data_type )
2017	solve_before_primary	sv_source_syntax	excerpt from Annex A	Syntax 18-8	18	no	section-18-constrained-random-value-generation.md	[ implicit_class_handle . | class_scope ] hierarchical_identifier select
2017	strength_component	system_task_function	not in Annex A	Syntax 21-27	21	no	section-800-time-units-later-at-time-1010-and-stops-it-900-time-units-later-at-time-1910.md	0 | 1 | 2 | 3 | 4 | 5 | 6 | 7
2017	string_output_task_name	system_task_function	not in Annex A	Syntax 21-6	21	no	section-21-input-output-system-tasks-and-system-functions.md	$swrite | $swriteb | $swriteh | $swriteo
2017	string_output_tasks	system_task_function	not in Annex A	Syntax 21-6	21	no	section-21-input-output-system-tasks-and-system-functions.md	string_output_task_name ( output_var [ , list_of_arguments ] ) ;
2017	strobe_task_name	system_task_function	not in Annex A	Syntax 21-2	21	no	section-21-input-output-system-tasks-and-system-functions.md	$strobe | $strobeb | $strobeo | $strobeh
2017	strobe_tasks	system_task_function	not in Annex A	Syntax 21-2	21	no	section-21-input-output-system-tasks-and-system-functions.md	strobe_task_name [ ( list_of_arguments ) ] ;
2017	system_task	system_task_function	not in Annex A	Syntax 21-20	21	no	section-800-time-units-later-at-time-1010-and-stops-it-900-time-units-later-at-time-1910.md	${ASCII character}
2017	text_macro_definition	compiler_directive	not in Annex A	Syntax 22-2	22	no	section-22-compiler-directives.md	`define text_macro_name macro_text
2017	text_macro_identifier	compiler_directive	not in Annex A	Syntax 22-2	22	no	section-22-compiler-directives.md	identifier
2017	text_macro_name	compiler_directive	not in Annex A	Syntax 22-2	22	no	section-22-compiler-directives.md	text_macro_identifier [ ( list_of_formal_arguments ) ]
2017	text_macro_usage	compiler_directive	not in Annex A	Syntax 22-3	22	no	section-22-compiler-directives.md	`text_macro_identifier [ ( list_of_actual_arguments ) ]
2017	time_function	system_task_function	not in Annex A	Syntax 20-2	20	no	section-20-utility-system-tasks-and-system-functions.md	$time | $stime | $realtime
2017	time_number	system_task_function	not in Annex A	Syntax 21-20	21	no	section-800-time-units-later-at-time-1010-and-stops-it-900-time-units-later-at-time-1910.md	1 | 10 | 100
2017	timeformat_task	system_task_function	not in Annex A	Syntax 20-4	20	no	section-20-utility-system-tasks-and-system-functions.md	$timeformat [ ( units_number , precision_number , suffix_string , minimum_field_width ) ] ;
2017	timescale_compiler_directive	compiler_directive	not in Annex A	Syntax 22-6	22	no	section-22-compiler-directives.md	`timescale time_unit / time_precision
2017	timescale_section	system_task_function	not in Annex A	Syntax 21-27	21	no	section-800-time-units-later-at-time-1010-and-stops-it-900-time-units-later-at-time-1910.md	number time_unit
