verdict	channel	suite	relpath	furthest	stuck	first_tick	fail_line	bytes	fact_names	snippet
IN-WINDOW		Surelog	tests/PreprocUhdmCov/prim_assert.sv	793	849	319	30	1220		\ `endif \
IN-WINDOW		Surelog	tests/SimpleClass1/Configuration.sv	539	539	443	14	1043		n extends uvm_object; virtual input_interface.IP input_intf; virtual
IN-WINDOW		Surelog	tests/SimpleClass1/Macro.sv	16	20	2	4	297		`define dumb \ begin \ end `define uvm_info(ID, MSG, VERBOSITY) \ b
IN-WINDOW		Surelog	tests/SimpleClass1/Packet.sv	620	620	443	17	3512		ds uvm_sequence_item; rand fcs_kind_t fcs_kind; rand bit [7:0]
IN-WINDOW		Surelog	tests/SimpleClass1/Sequencer.sv	529	530	443	13	973		tends uvm_sequencer #(Packet); Configuration cfg; `uvm_sequencer_u
IN-WINDOW		Surelog	tests/SimpleIncludeAndMacros/foo/inc.sv	31	32	2	4	70		yz(I,R = DEFAULT) \ assign abc[I].clk = R.du``I``_clk_x;
IN-WINDOW		Surelog	tests/SimpleIncludeAndMacros/top.v	178	181	9	17	650		e `undef multipl $display("Internal error: null handle at %s, line %d.",`__FI
IN-WINDOW		Surelog	tests/SimpleIncludeAndMacros/top_1.v	154	157	9	17	647		`undef multipl $display("Internal error: null handle at %s, line %d.",`__FI
IN-WINDOW		Surelog	tests/SimpleIncludeAndMacros/top_2.v	158	161	9	17	857		e `undef multipl $display("Internal error: null handle at %s, line %d.",`__FI
IN-WINDOW		Surelog	tests/SimpleIncludeAndMacros/top_3.v	231	234	9	20	713		`undef multipl tt $display("Internal error: null handle at %s, line %d.",`__FI
IN-WINDOW		Surelog	tests/SimpleIncludeAndMacros/top_4.v	206	207	9	18	847		reg CK,rd,wr,ce; \ reg [7:0] addr,data_wr,``DATA``_rd; \ reg [7:0] re
IN-WINDOW		Surelog	tests/SimpleTask/top.v	25	27	27	4	2059		bus_wr_rd_task(); `define append(f) f``_master `define my_macro(CK,DATA)\
IN-WINDOW		Surelog	tests/SimpleTask/top_1.v	25	27	27	4	2091		bus_wr_rd_task(); `define append(f) f``_master `define append(f) f``_master
IN-WINDOW		Surelog	tests/SimpleTask/top_2.v	25	27	27	4	2088		bus_wr_rd_task(); `define append(f) f``_master `define append(f) f``_master
IN-WINDOW		Surelog	tests/SimpleTask/top_3.v	25	27	27	4	2088		bus_wr_rd_task(); `define append(f) f``_master `define append(f) f``_master
IN-WINDOW		Surelog	tests/SimpleTask/top_4.v	25	27	27	4	2088		bus_wr_rd_task(); `define append(f) f``_master `define append(f) f``_master
IN-WINDOW		Surelog	tests/SimpleTask/top_5.v	25	27	27	4	2090		bus_wr_rd_task(); `define append(f) f``_master `define my_macro(CK,DATA)\
IN-WINDOW		Surelog	tests/TestFileSplit/top.v	15	24	24	10	222		age top1_1; `include "middle.v" `include "middle.v"
IN-WINDOW		Surelog	tests/TestFileSplit/top2.v	82	88	88	28	643		2_21; endclass `include "middle.v" class blah3_38; endclass
IN-WINDOW		Surelog	tests/TestMacros/TestMacros.v	245	246	0	9	632		ESULT = SOURCE + 5; \ $display("Inside ADD5 macro. Scope is %m"); `define def
IN-WINDOW		Surelog	tests/TestMacros/macros.v	28	33	0	2	358		T_EQUALS(x,y) \ repeat(1)\ begin\ if( (x) != (y) ) \ // A Macro
IN-WINDOW		Surelog	tests/TestMacros/xl.v	8579	8579	25	348	11363		Qt+1 1 (01) 1 ? : ? : 1; // clocked data
IN-WINDOW		Surelog	tests/UnitClass/Configuration.sv	539	539	443	14	1043		n extends uvm_object; virtual input_interface.IP input_intf; virtual
IN-WINDOW		Surelog	tests/UnitClass/Macro.sv	16	20	2	4	297		`define dumb \ begin \ end `define uvm_info(ID, MSG, VERBOSITY) \ b
IN-WINDOW		Surelog	tests/UnitClass/Packet.sv	620	620	443	17	3512		ds uvm_sequence_item; rand fcs_kind_t fcs_kind; rand bit [7:0]
IN-WINDOW		Surelog	tests/UnitClass/Sequencer.sv	529	530	443	13	973		tends uvm_sequencer #(Packet); Configuration cfg; `uvm_sequencer_u
IN-WINDOW		black-parrot	bp_be/src/include/bp_be_dcache_defines.svh	164	192	1	6	1800		\ { \
IN-WINDOW		black-parrot	bp_be/src/include/bp_be_defines.svh	503	603	36	20	25041		\ typedef struct packed
IN-WINDOW		black-parrot	bp_be/src/include/bp_be_pkg.sv	2806	2810	3	100	2892		080000_00000000; `include "bp_be_ctl_pkgdef.svh" `include "bp_be_dcache_pkg
IN-WINDOW		black-parrot	bp_be/src/v/bp_be_calculator/bp_be_calculator_top.sv	554	555	391	21	24943		rameter bp_params_e bp_params_p = e_bp_default_cfg `declare_bp_proc_params(b
IN-WINDOW		black-parrot	bp_be/src/v/bp_be_calculator/bp_be_csr.sv	153	154	1	8	31717		rameter bp_params_e bp_params_p = e_bp_default_cfg `declare_bp_proc_params(bp
IN-WINDOW		black-parrot	bp_be/src/v/bp_be_calculator/bp_be_fp_box.sv	156	157	1	8	2315		rameter bp_params_e bp_params_p = e_bp_default_cfg `declare_bp_proc_params(bp
IN-WINDOW		black-parrot	bp_be/src/v/bp_be_calculator/bp_be_fp_rebox.sv	158	159	1	8	1851		rameter bp_params_e bp_params_p = e_bp_default_cfg `declare_bp_proc_params(bp
IN-WINDOW		black-parrot	bp_be/src/v/bp_be_calculator/bp_be_fp_unbox.sv	158	159	1	8	2020		rameter bp_params_e bp_params_p = e_bp_default_cfg `declare_bp_proc_params(bp
IN-WINDOW		black-parrot	bp_be/src/v/bp_be_calculator/bp_be_int_box.sv	157	158	1	8	867		rameter bp_params_e bp_params_p = e_bp_default_cfg `declare_bp_proc_params(bp
IN-WINDOW		black-parrot	bp_be/src/v/bp_be_calculator/bp_be_int_unbox.sv	159	160	1	8	1916		rameter bp_params_e bp_params_p = e_bp_default_cfg `declare_bp_proc_params(bp
IN-WINDOW		black-parrot	bp_be/src/v/bp_be_calculator/bp_be_pipe_aux.sv	297	298	140	18	11126		rameter bp_params_e bp_params_p = e_bp_default_cfg `declare_bp_proc_params(bp
